#cathEX_trigg	cathEX_clip	cathEY_trigg	cathEY_clip	cathWX_trigg	cathWX_clip	cathWY_trigg	cathWY_clip
0.04		3.1		0.09		2.6		0.05		2.9		0.06		2.5
0.04		2.9		0.11		4.1		0.05		2.3		0.07		3.1
0.04		2.8		0.1		4.6		0.05		2.4		0.07		3.1
0.05		3.1		0.11		4.2		0.07		2.5		0.08		3.3
0.06		3.5		0.11		4.1		0.07		2.8		0.08		3.2
0.05		3.4		0.1		3.9		0.07		3.1		0.07		2.9
0.06		4.2		0.1		4.5		0.07		3.4		0.07		2.6
0.07		4.1		0.11		4.3		0.08		3.6		0.08		2.6
0.08		4.9		0.11		3.9		0.08		3.8		0.08		3.1
0.08		5		0.1		4		0.08		4.4		0.08		3.3
0.08		4.5		0.1		5.2		0.09		4.4		0.08		3.2
0.09		4.9		0.11		3.7		0.09		4.4		0.08		3.5
0.09		5		0.09		4.2		0.1		4.3		0.09		3.5
0.09		5.3		0.08		4.6		0.09		4.6		0.1		3.7
0.11		6.7		0.1		4.2		0.08		5.5		0.09		4
0.12		6.4		0.08		3.3		0.11		4.3		0.08		2.9
