#cathEX_trigg	cathEX_clip	cathEY_trigg	cathEY_clip	cathWX_trigg	cathWX_clip	cathWY_trigg	cathWY_clip
0.05		4.2		0.1		6.1		0.04		2.4		1.89		9
0.07		5		0.11		5.7		0.04		2.3		0.06		3.4
0.06		4.8		0.12		6		0.04		2.3		0.06		2.9
0.07		4.9		0.12		5.8		0.05		2.4		0.07		2.9
0.08		5.3		0.12		5.1		0.06		2.5		0.06		2.9
0.07		5.4		0.13		5.2		0.06		2.9		0.06		2.5
0.08		5.5		0.12		5.5		0.06		3.3		0.06		2.5
0.08		5.4		0.13		5.3		0.07		3.5		0.06		2.5
0.08		5.5		0.13		5.3		0.07		3.4		0.07		2.7
0.08		6.3		0.13		5.4		0.07		3.6		0.06		2.8
0.08		5.9		0.13		5.9		0.07		3.9		0.06		2.7
0.1		6		0.13		6.1		0.07		3.7		0.07		2.9
0.11		6.1		0.14		6		0.07		3.9		0.07		3.2
0.11		6.2		0.14		6.2		0.07		4		0.08		3.6
0.11		6.3		0.14		6.3		0.07		4.2		0.07		4.3
0.1		4.5		0.12		5.6		0.08		3.9		0.07		3.1
