#cathEX_trigg	cathEX_clip	cathEY_trigg	cathEY_clip	cathWX_trigg	cathWX_clip	cathWY_trigg	cathWY_clip
0.06		5.8		0.09		4.3		0.05		3.6		0.07		3
0.05		3.7		0.1		4.5		0.04		2.5		0.07		3.4
0.05		3.3		0.09		4.4		0.05		2.2		0.07		3.2
0.05		3.2		0.11		3.5		0.06		2.5		0.09		3.1
0.06		3.4		0.1		4		0.06		2.7		0.09		3
0.06		3.8		0.1		4.8		0.07		3		0.07		2.9
0.06		4.1		0.1		5		0.07		3.4		0.07		2.8
0.07		4.3		0.12		4.4		0.08		3.7		0.07		2.7
0.08		4.6		0.11		4.3		0.08		4.2		0.08		3
0.08		4.6		0.09		4.8		0.08		4.1		0.08		3
0.1		5.1		0.1		6.3		0.08		4.5		0.07		3
0.1		5.3		0.1		4.1		0.09		4.1		0.08		3
0.11		5.5		0.09		4.7		0.1		3.7		0.08		3.7
0.11		5.5		0.1		4.9		0.09		4.1		0.09		3.8
0.1		6.1		0.1		4.3		0.08		5.1		0.09		4.2
0.11		6		0.09		5.2		0.11		7.4		0.09		3
